"latitude","longitude"
"-12.24","122.98"
"-12.22","123.00"
"-12.24","122.99"
"-10.43","105.67"
"-11.97","123.32"
"-11.98","123.33"
"-11.98","123.34"
"-11.97","123.34"
"-33.84","151.25"
"-11.97","123.36"
"-11.98","123.36"
"-11.97","123.38"
"-11.98","123.38"
"-11.97","123.39"
"-12.53","123.58"
"-12.53","123.57"
"-12.52","123.56"
"-12.52","123.57"
"-14.10","123.55"
"-14.11","123.56"
"-14.06","125.36"
"-13.94","125.64"
"-13.82","127.27"
"-10.33","132.71"
"-10.32","132.71"
"-11.29","133.80"
"-11.30","133.80"
"-43.05","147.34"
"-43.06","147.36"
"-43.06","147.33"
"-11.44","134.14"
"-43.04","147.34"
"-43.01","147.33"
"-43.29","147.14"
"-43.29","147.18"
"-38.32","144.71"
"-43.28","147.17"
"-43.27","147.14"
"-33.99","151.23"
"-38.28","144.64"
"-38.30","144.66"
"-38.32","144.72"
"-33.80","151.29"
"-38.31","144.70"
"-38.31","144.71"
"-38.31","144.80"
"-38.29","144.63"
"-38.28","144.63"
"-38.29","144.62"
"-38.28","144.66"
"-38.31","144.66"
"-38.29","144.60"
"-38.29","144.59"
"-38.29","144.61"
"-38.30","144.61"
"-38.15","144.72"
"-33.80","151.30"
"-38.28","144.70"
"-38.27","144.65"
"-32.71","152.16"
"-34.00","151.23"
"-35.75","138.06"
"-35.76","138.07"
"-33.80","151.27"
"-35.72","137.98"
"-35.72","137.96"
"-35.72","137.99"
"-35.74","138.04"
"-35.59","138.11"
"-35.72","137.94"
"-35.73","138.02"
"-35.52","138.17"
"-35.52","138.16"
"-35.55","138.13"
"-35.51","138.21"
"-35.52","138.18"
"-35.39","138.35"
"-35.37","138.37"
"-35.53","138.15"
"-35.38","138.36"
"-35.40","138.33"
"-35.42","138.32"
"-43.42","145.97"
"-43.37","145.93"
"-43.36","145.96"
"-43.30","145.90"
"-43.32","145.87"
"-43.30","145.92"
"-33.82","151.29"
"-33.81","151.31"
"-33.84","151.28"
"-43.30","145.82"
"-43.30","145.85"
"-43.31","145.84"
"-33.83","151.27"
"-33.82","151.30"
"-43.31","145.90"
"-43.30","145.93"
"-35.59","137.38"
"-43.29","145.92"
"-43.33","145.99"
"-43.33","145.97"
"-43.32","145.99"
"-35.56","137.63"
"-35.66","137.64"
"-34.07","151.13"
"-37.89","147.97"
"-35.72","137.90"
"-35.72","137.93"
"-35.59","137.30"
"-35.62","137.19"
"-33.92","151.26"
"-33.92","151.27"
"-41.21","148.29"
"-41.25","148.34"
"-35.07","138.49"
"-35.05","138.50"
"-35.10","138.48"
"-35.21","138.46"
"-35.15","138.46"
"-35.10","138.47"
"-42.55","147.95"
"-42.63","148.02"
"-42.60","148.05"
"-41.88","148.31"
"-41.87","148.30"
"-35.14","138.46"
"-41.87","148.31"
"-40.90","145.58"
"-40.85","145.50"
"-35.51","138.22"
"-40.90","145.55"
"-40.90","145.54"
"-40.86","145.52"
"-40.89","145.54"
"-40.86","145.51"
"-35.01","150.83"
"-35.09","150.69"
"-35.10","150.69"
"-35.11","150.77"
"-35.12","150.76"
"-35.08","150.79"
"-35.08","150.80"
"-35.09","150.80"
"-33.59","115.24"
"-33.59","115.23"
"-35.13","150.73"
"-35.12","150.71"
"-33.59","115.20"
"-33.59","115.21"
"-42.66","148.01"
"-42.72","148.01"
"-42.52","147.97"
"-42.58","147.92"
"-42.58","148.05"
"-42.59","148.05"
"-41.90","148.32"
"-41.34","148.34"
"-42.56","148.07"
"-42.58","148.06"
"-35.40","138.34"
"-35.37","138.38"
"-38.28","144.62"
"-38.14","144.71"
"-20.04","148.88"
"-20.05","148.88"
"-19.26","152.34"
"-19.23","152.33"
"-19.25","152.35"
"-42.90","147.67"
"-19.13","152.39"
"-19.10","152.39"
"-19.26","152.35"
"-42.98","147.33"
"-19.28","152.21"
"-19.30","152.24"
"-19.28","152.22"
"-19.79","149.07"
"-31.99","115.52"
"-31.99","115.54"
"-31.97","115.54"
"-32.02","115.50"
"-19.81","149.07"
"-19.80","149.08"
"-32.74","152.19"
"-32.69","152.22"
"-32.79","152.11"
"-32.02","115.56"
"-32.03","115.53"
"-32.75","152.17"
"-31.99","115.50"
"-32.02","115.55"
"-32.02","115.45"
"-32.03","115.58"
"-32.72","152.14"
"-32.71","152.15"
"-31.99","115.53"
"-31.99","115.58"
"-31.99","115.56"
"-30.02","153.27"
"-30.20","153.26"
"-30.20","153.27"
"-30.21","153.27"
"-29.92","153.39"
"-29.93","153.39"
"-29.98","153.23"
"-30.30","153.15"
"-32.03","115.44"
"-37.88","147.91"
"-30.15","153.23"
"-30.16","153.23"
"-30.24","153.18"
"-23.13","113.76"
"-23.12","113.76"
"-23.21","113.76"
"-23.33","113.78"
"-23.32","113.78"
"-23.09","113.74"
"-23.11","113.75"
"-23.17","113.76"
"-23.20","113.76"
"-23.16","113.76"
"-23.18","113.76"
"-23.14","113.75"
"-21.84","114.18"
"-23.13","113.75"
"-21.87","114.16"
"-21.85","114.17"
"-23.10","113.79"
"-23.04","113.82"
"-23.14","113.77"
"-22.93","113.78"
"-22.87","113.76"
"-30.11","153.21"
"-36.16","150.13"
"-36.17","150.14"
"-36.25","150.23"
"-36.26","150.22"
"-35.99","150.16"
"-36.01","150.17"
"-36.25","150.22"
"-36.24","150.22"
"-19.77","149.38"
"-19.77","149.37"
"-37.91","144.98"
"-37.90","144.98"
"-37.92","144.98"
"-19.81","149.42"
"-19.83","149.48"
"-38.21","145.03"
"-38.23","145.03"
"-38.16","145.09"
"-36.26","150.15"
"-38.13","144.71"
"-38.11","144.66"
"-35.91","150.16"
"-21.07","150.46"
"-35.80","150.23"
"-35.82","150.24"
"-35.83","150.22"
"-21.43","151.58"
"-21.45","151.47"
"-21.46","151.47"
"-35.53","150.42"
"-35.56","150.39"
"-21.16","151.75"
"-21.41","151.64"
"-21.21","152.24"
"-21.21","151.98"
"-21.13","152.76"
"-21.12","152.77"
"-21.18","152.54"
"-20.94","154.40"
"-21.02","154.37"
"-21.21","155.77"
"-21.20","155.77"
"-21.25","155.76"
"-21.13","155.74"
"-21.14","155.75"
"-22.17","155.45"
"-22.16","155.45"
"-22.17","155.48"
"-22.18","155.47"
"-22.19","155.36"
"-21.64","150.25"
"-21.62","150.25"
"-21.65","150.24"
"-20.69","149.14"
"-20.68","149.14"
"-43.14","147.97"
"-20.38","148.89"
"-33.80","151.28"
"-42.96","148.01"
"-43.07","147.96"
"-35.54","138.69"
"-35.57","138.61"
"-33.85","151.27"
"-33.85","151.26"
"-38.36","144.77"
"-31.52","159.05"
"-31.53","159.06"
"-31.57","159.07"
"-31.54","159.05"
"-31.52","159.03"
"-31.50","159.06"
"-31.55","159.06"
"-31.58","159.07"
