"latitude","longitude"
-33.8,151.28
-42.9,147.67
-43.07,147.96
-35.54,138.69
-32.71,152.16
-38.14,144.71
-35.52,138.16
-35.14,138.46
-31.52,159.05
-34.85,138.45
-32.27,115.68
-34.44,138.2
-34.16,137.45
-42.59,148.05
-31.76,159.24
-34.07,151.16
-20.08,148.88
-31.87,115.75
-20.68,149.18
-39.1,146.33
-43.06,147.33
-30.3,153.15
-32.02,115.45
-37.82,148.78
-37.88,147.91
-30.02,153.27
-18.87,147.71
-18.14,146.28
-16.73,146.27
-15.48,147.1
-13.85,146.63
-10.45,144.43
-10.08,144.47
-9.96,144.15
-10.07,143.87
-10.29,143.71
-10.6,141.91
-10.5,141.23
-10.74,141.06
-10.79,142.97
-12.09,143.26
-13.82,144.28
-14.65,145.45
-15.96,145.8
-16.6,145.97
-16.93,145.98
-16.5,147.84
-16.92,149.2
-17.71,148.44
-20.03,149.7
-19.81,149.13
-21.48,151.19
-23.2,150.97
-23.18,151.92
-23.54,151.76
-22.37,152.54
-21.92,153.59
-19.25,152.35
-40.85,145.5
-29.07,167.96
-35.05,150.84
-40.09,147.76
-28.68,113.76
-28.89,114.01
-37.51,149.97
-41.87,148.31
-26.12,113.18
-20.57,116.61
-28.61,153.63
-27.4,153.44
-24.84,152.48
-23.11,113.75
-22.1,113.88
-30.65,153
-17.43,151.07
-16.93,150
-21.84,114.18
-16.53,150.28
-16.3,149.96
-11.63,136.93
-11.94,135.6
-11.3,133.8
-11.44,134.14
-10.9,133.03
-12.48,130.79
-11.22,129.66
-10.91,130.1
-9.89,129.55
-10.84,129.22
-10.7,126.33
-11.66,125.11
-11.73,123.99
-11.98,123.34
-12.24,122.99
-12.53,123.58
-12.8,124.27
-12.56,124.04
-13.82,127.27
-10.96,132.23
-10.33,132.71
-11.23,134.75
-12.06,136.61
-12.88,136.71
-10.52,143.09
-11.77,143.65
-22.37,166.27
-17.22,146.09
-17.52,146.5
-18.26,147.38
-19.27,148.35
-22.02,165.92
-28.17,153.55
-33.59,115.2
-43.45,146.98
-32.43,152.53
-21.61,165.34
